label,in,out
京ACYHNB,"	001032","	001519"
京OPQQGW,"	002157","	105431"
京KAZKZF,"	003122","	070532"
京QRAAA5,"	003131","	081600"
京FU6G1K,"	003318","	114748"
京EFW9598,"	010232","	194021"
京MFS2400,"	011057","	103511"
粤BZSTXL,"	011936","	225605"
京EF08948,"	012925","	201031"
京TE0WQ警,"	014314","	031117"
京O449F学,"	020018","	160648"
京UZZYUS,"	020244","	161815"
京CF56663,"	020439","	113034"
京PBR1UX,"	020722","	114934"
京XVB81K,"	020806","	173732"
京RFS3G学,"	032012","	092055"
京L86AUK,"	032900","	111753"
琼GV8HP2,"	033237","	174531"
京RW2AJ警,"	033839","	233920"
京S1JALS,"	034026","	063701"
京HCYVQY,"	041815","	153234"
京IDF8539,"	041917","	143122"
京UPD9R6,"	041954","	145849"
京SFE7364,"	043613","	115924"
京YMT9NN,"	043905","	054446"
京YYYSZ2,"	051718","	113711"
苏D2D41V,"	051721","	152806"
京DZXTUV,"	052852","	110555"
京PY6VK8,"	053302","	101324"
京NBPUE4,"	053358","	170145"
京MTUEMG,"	064643","	225045"
京GLHE0Y,"	065626","	104959"
辽C9VP37,"	071331","	103450"
京KYSB39,"	074532","	160833"
京VFF2886,"	075230","	134710"
辽C9VP37,"	071331","	103450"
京KYSB39,"	074532","	160833"
京VFF2886,"	075230","	134710"
鄂HZHA9B,"	075533","	225347"
京EFC6EW,"	080312","	134525"
京EFC6EW,"	080312","	134525"
京CZRXLS,"	080840","	172630"
京FGUYK1,"	081454","	135430"
京INW962,"	081951","	194254"
京U9KT98,"	084040","	180823"
京BCE384,"	084130","	174318"
京YD21690,"	091704","	220335"
京JDK1509,"	092434","	132408"
京BRRSQ7,"	095427","	221345"
京O344J0,"	102721","	171729"
京ZG652S,"	102724","	193459"
京GUTT1C,"	104102","	223626"
京JW25WQ,"	104727","	145512"
京O344J0,"	102721","	171729"
京ZG652S,"	102724","	193459"
京GUTT1C,"	104102","	223626"
京JW25WQ,"	104727","	145512"
京E6HM28,"	105421","	135500"
京IH5BZ0,"	105557","	192759"
京BF43177,"	105718","	141513"
豫H4P9ZM,"	110400","	225334"
京P3FG37,"	110535","	130554"
京Y2TNMB,"	111256","	124625"
京J3XXS6,"	111330","	182343"
京HFJ91V,"	111741","	113316"
京RTGSF8,"	113008","	115910"
京GLBHVD,"	113143","	234406"
京KMFZKL,"	113202","	115015"
京X8XE3H,"	120358","	183153"
京ZF16185,"	120712","	231845"
京IFF9340,"	121735","	135934"
贵LDYL5C,"	121801","	234127"
京CZ98LM,"	122338","	235934"
京MEW27P,"	122713","	211726"
京UCBGWN,"	123805","	164250"
京X50EPW,"	123952","	134925"
京AFY8093,"	130259","	212052"
京TU1E7W,"	131003","	194108"
京AAZDTH,"	131611","	183643"
京J1LNKD,"	132712","	192053"
京LF84292,"	132858","	191001"
京BFB3317,"	134514","	143532"
京QDA6470,"	141421","	233137"
京YXVEJV,"	142107","	185724"
京QDA6470,"	141421","	233137"
京YXVEJV,"	142107","	185724"
京UDSZN5,"	142627","	205353"
京NEB5CT,"	144133","	183941"
京KBSMD2,"	145912","	185043"
京I265FA,"	151450","	235620"
冀E59YZ2,"	152049","	212709"
京XJVJ3R,"	152848","	182720"
京I265FA,"	151450","	235620"
冀E59YZ2,"	152049","	212709"
京XJVJ3R,"	152848","	182720"
京D6U79Q,"	153603","	210401"
京UXA7FC,"	153810","	224659"
京SDC2069,"	154252","	173325"
京VUWJG8,"	155030","	221144"
京CC7HVM,"	155536","	231939"
京TF3XJV,"	160602","	210401"
京B5YE6Y,"	161015","	210349"
京NHL4ZJ,"	161716","	215655"
京SZ1AV8,"	162344","	223400"
京HDC8778,"	162636","	203310"
京MAKG4F,"	165251","	193145"
京JC81DE,"	165851","	202832"
京L4TVK9,"	170504","	175200"
京L4TVK9,"	170504","	175200"
京XGUMHP,"	170723","	181556"
京A0DEXK,"	172021","	181307"
津HUW1SH,"	172503","	211414"
京USNMEB,"	173957","	223818"
京D4T7KP,"	175254","	232133"
京AWPFTT,"	175347","	212657"
京VY7J3E,"	180257","	231136"
京VY7J3E,"	180257","	231136"
京KGZ9MW,"	180543","	192327"
京WFW2246,"	182028","	230610"
京OMSVE3,"	182422","	210808"
津NXGK8N,"	183113","	214021"
京ORFJ4Z,"	185204","	225024"
京IDP1419,"	190027","	193157"
京FD29283,"	190719","	195231"
京IDP1419,"	190027","	193157"
京FD29283,"	190719","	195231"
京N2K36P,"	191042","	200040"
